What is your gender?,How old are you?,Level of Education,Career Focus,Are you a full-time student?,Do you typically work in a team or alone at your career focus?,Are you in any organizations outside of your main career focus?,Level of Social Interaction with Peers,Are you working on your career focus remotely or in person?,How much do you use social media?,How comfortable do you feel networking?,Do you feel like you've achieved any goals that you've wanted to up until this point in your life?,Do you consider yourself successful overall?,Clance IP Scale Score
1,2,2,1,1,2,2,5,1,4,5,1,2,3
2,2,4,1,1,2,1,3,1,4,3,1,1,3
1,2,2,1,1,1,1,4,1,4,5,1,1,3
1,2,2,6,1,2,1,5,1,2,3,2,1,2
2,2,2,1,1,2,1,3,1,2,3,2,2,4
2,2,1,1,1,2,2,3,1,5,2,1,2,2
2,2,4,1,1,1,1,5,1,3,5,1,1,1
1,2,2,1,1,2,1,5,1,5,5,2,1,3
2,2,2,1,1,1,3,4,1,4,2,1,1,3
1,2,3,2,1,2,2,2,1,2,2,1,1,3
1,2,4,1,1,1,1,4,1,3,4,1,1,3
1,2,4,1,1,1,3,3,1,5,4,2,1,2
1,2,4,2,1,2,1,3,1,2,2,2,2,4
1,2,2,1,1,2,2,5,1,5,2,1,1,3
2,2,4,1,1,2,3,4,1,5,4,1,1,2
1,2,2,1,1,1,2,4,1,5,3,1,2,4
2,2,2,1,1,2,2,2,1,4,1,1,2,3
2,2,3,2,1,1,1,3,1,4,5,1,1,4
1,2,4,3,2,1,2,5,2,5,4,2,1,4
3,2,2,1,1,2,2,4,1,3,3,1,2,4
1,2,5,6,1,1,2,1,1,1,1,1,2,4
1,2,3,2,1,1,3,2,1,5,3,2,2,4
2,2,5,1,1,1,2,3,1,2,1,1,1,4
1,2,4,1,1,2,1,2,1,3,4,2,2,4
1,5,5,5,2,1,2,4,2,4,3,1,1,3
1,2,2,1,1,1,2,5,1,5,4,1,1,3
2,2,4,1,2,1,1,4,1,3,4,1,2,3
1,2,2,2,1,2,2,4,1,2,2,2,2,4
1,2,2,1,1,2,2,1,2,5,4,1,1,4
2,2,4,1,1,1,2,5,1,5,4,2,2,2
2,3,4,6,2,2,3,5,1,5,5,1,2,3
1,2,3,5,1,1,2,4,1,4,4,2,2,2
2,2,4,1,1,1,1,4,1,5,4,1,2,3
1,2,4,1,1,1,3,5,1,4,5,1,1,2
1,2,4,1,1,1,3,3,2,4,4,1,1,2
2,2,4,1,1,2,3,4,2,3,5,2,1,2
2,2,4,1,1,1,1,5,1,4,4,2,2,3
2,2,4,1,1,2,3,4,2,4,4,2,2,2
2,2,4,1,1,1,3,4,2,4,3,1,1,3
,3,5,1,2,1,3,4,1,5,2,1,1,3
1,2,4,6,2,1,3,4,1,4,4,2,2,2
2,2,4,1,1,2,3,3,2,4,3,2,2,2
2,2,4,1,1,1,2,4,1,3,4,1,1,1
2,2,4,1,2,1,1,5,1,4,5,2,2,2
1,2,4,1,1,1,2,3,1,5,4,2,2,3
1,2,4,1,1,1,3,3,2,3,3,2,2,3
2,2,4,1,1,1,3,4,1,4,3,2,2,2
2,2,4,1,1,2,3,3,1,5,4,2,2,4
2,2,2,1,1,1,1,5,2,5,4,2,2,4
2,2,4,1,1,2,2,4,1,4,4,2,2,3
2,2,4,1,1,1,3,5,2,5,4,2,1,3
1,2,4,1,1,1,3,5,2,3,3,1,2,3
2,2,4,1,1,1,3,5,2,3,5,1,1,3
1,2,4,1,1,2,3,2,2,3,3,2,2,3
2,2,4,1,1,2,3,4,1,2,5,1,2,3
2,2,4,1,1,2,2,4,2,4,3,2,2,3
1,2,4,1,1,2,1,4,2,5,4,1,1,2
2,2,4,1,2,2,1,5,2,4,4,1,2,3
1,2,4,1,1,1,3,3,2,4,4,2,1,3
1,2,4,1,1,1,2,4,1,5,3,2,2,3
2,2,4,1,1,1,3,5,1,5,3,2,1,2
1,2,4,1,1,1,2,5,1,4,4,1,1,3
2,2,4,1,2,1,3,4,1,4,4,1,2,4
2,3,5,1,2,1,3,3,2,4,4,1,1,3
2,2,2,1,1,1,1,4,1,3,3,2,2,2
1,2,4,1,1,2,1,5,1,5,5,2,2,1
2,2,4,1,1,2,2,2,1,2,3,2,1,3
1,2,4,1,1,1,1,4,2,4,3,2,2,3
1,2,4,1,1,2,3,5,1,4,5,2,2,4
1,2,4,1,1,2,3,1,1,1,2,1,1,3
1,2,2,1,1,1,3,5,1,1,5,1,2,3
2,2,4,1,1,1,3,3,2,4,4,2,2,3
2,2,2,1,1,2,3,3,1,4,4,2,1,4
1,2,4,1,1,1,3,3,2,3,5,1,1,2
2,2,4,1,1,2,3,3,2,4,4,1,1,3
1,2,4,1,1,1,1,5,2,3,3,1,1,1
2,3,4,1,2,1,3,4,1,4,2,1,1,2
1,2,4,1,1,1,3,5,1,5,5,1,1,2
2,4,4,1,2,2,1,4,2,2,3,1,1,2
2,4,6,1,2,1,1,5,2,4,4,1,1,3
1,2,4,1,1,1,3,3,2,3,4,2,2,1
2,2,4,1,1,2,3,3,2,3,2,2,2,3
1,2,4,1,1,1,3,4,2,3,3,1,1,3
1,2,4,1,1,2,1,3,1,3,3,1,2,2
1,2,4,1,1,1,2,4,2,4,3,2,2,3
1,2,4,1,1,1,2,4,2,4,3,2,2,2
2,2,4,1,1,2,3,3,2,5,3,1,2,3
1,2,2,1,1,2,3,1,1,4,1,1,1,3
